item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,clean_description,clean_tags,clean_operating_hours,clean_operating_days,clean_closing_days,avg_price_rm,combined_text
EX01,A'moss,Scenic dome glamping site offering panoramic views of Cameron Highlands' tea plantations.,"glamping, eco stay, cameron highlands, nature",Nature & Eco,Cameron Highlands,Pahang,250,500,2:00  PM - 12:00  PM,Daily,Not Mentioned,5,HO67,A'moss Dome Stay,017-300 1142,https://www.facebook.com/AmossStay,Scenic dome glamping site offering panoramic views of Cameron Highlands' tea plantations.,"glamping, eco stay, cameron highlands, nature",2.00 p.m. - 12.00 p.m.,Daily,Not Mentioned,375,"A'moss glamping, eco stay, cameron highlands, nature Scenic dome glamping site offering panoramic views of Cameron Highlands' tea plantations."
EX02,Air Terjun Takah Pengkoi,"Hidden waterfall located in an Orang Asli village in Segamat, Johor. Offers camping, chalets, and a unique “bus stay” experience with BBQ facilities and no mobile signal — perfect for a digital detox.","nature, waterfall, camping, hidden gem",Nature & Eco,"Bekok, Johor",Johor,15,70,9.00  AM - 8.00  PM,Daily,Not Mentioned,4.4,HO180,Ros,019 659 9316 ,Not Mentioned,"Hidden waterfall located in an Orang Asli village in Segamat, Johor. Offers camping, chalets, and a unique “bus stay” experience with BBQ facilities and no mobile signal — perfect for a digital detox.","nature, waterfall, camping, hidden gem",9.00 a.m. - 8.00 p.m.,Daily,Not Mentioned,42.5,"Air Terjun Takah Pengkoi nature, waterfall, camping, hidden gem Hidden waterfall located in an Orang Asli village in Segamat, Johor. Offers camping, chalets, and a unique “bus stay” experience with BBQ facilities and no mobile signal — perfect for a digital detox."
EX03,Annah Rais Longhouse Visit,"Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals.","longhouse, indigenous, agro",Nature & Eco,"Kubah, Kuching, Sarawak",Sarawak,60,200,8 am - 6 pm,Daily by appointment,Upon Booking,4.6,HO12,Annah Rais Hosts,0 82-xxxxxx,Not Mentioned,"Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals.","longhouse, indigenous, agro",8.00 a.m. - 6.00 p.m.,Daily,Upon Booking,130,"Annah Rais Longhouse Visit longhouse, indigenous, agro Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals."
EX04,Asrina Craft Enterprise,"Local handicraft shop selling handmade batik, rattan, and traditional souvenirs.","handicraft, batik, souvenir, melaka",Arts & Crafts,Ayer Keroh,Melaka,10,50,8.00  AM - 10.00  PM,Daily,Not Mentioned,5,HO25,Asrina,012-309 3729,https://www.facebook.com/Asrina.Craft/,"Local handicraft shop selling handmade batik, rattan, and traditional souvenirs.","handicraft, batik, souvenir, melaka",8.00 a.m. - 10.00 p.m.,Daily,Not Mentioned,30,"Asrina Craft Enterprise handicraft, batik, souvenir, melaka Local handicraft shop selling handmade batik, rattan, and traditional souvenirs."
EX05,Azahari Boat Services,Family-run boat operator offering sightseeing and river excursions in Kuala Terengganu.,"boat tour, sightseeing, local experience, terengganu",Nature & Eco,Kampung Merang,Terengganu,50,110,9:00  AM - 5:00  PM,Daily,Not Mentioned,4.7,HO101,Azahari Boat Services,019-913 2369,Not Mentioned,Family-run boat operator offering sightseeing and river excursions in Kuala Terengganu.,"boat tour, sightseeing, local experience, terengganu",9.00 a.m. - 5.00 p.m.,Daily,Not Mentioned,80,"Azahari Boat Services boat tour, sightseeing, local experience, terengganu Family-run boat operator offering sightseeing and river excursions in Kuala Terengganu."
EX06,Azydar Enterprise,"Azydar Enterprise is a local business dedicated to preserving Perak's traditional tekat benang emas craftsmanship. The enterprise specializes in producing and selling exquisite hand-embroidered tekat items, including decorative panels, accessories, and ceremonial gifts. Each piece reflects meticulous artistry and cultural elegance, making it a cherished representation of Malay heritage.","tekat, embroidery, gold thread, craft, heritage, handmade, Perak, souvenir",Arts & Crafts,"No 57A, Kg Padang Changkat bukit chandan, Kuala Kangsar 33000",Perak,25,1800,Upon Booking,Upon Booking,Upon Booking,4.3,HO146,Azydar,instagram: @azydartekat,https://www.instagram.com/azydartekat/?hl=en,"Azydar Enterprise is a local business dedicated to preserving Perak's traditional tekat benang emas craftsmanship. The enterprise specializes in producing and selling exquisite hand-embroidered tekat items, including decorative panels, accessories, and ceremonial gifts. Each piece reflects meticulous artistry and cultural elegance, making it a cherished representation of Malay heritage.","tekat, embroidery, gold thread, craft, heritage, handmade, perak, souvenir",Upon Booking,Upon Booking,Upon Booking,912.5,"Azydar Enterprise tekat, embroidery, gold thread, craft, heritage, handmade, perak, souvenir Azydar Enterprise is a local business dedicated to preserving Perak's traditional tekat benang emas craftsmanship. The enterprise specializes in producing and selling exquisite hand-embroidered tekat items, including decorative panels, accessories, and ceremonial gifts. Each piece reflects meticulous artistry and cultural elegance, making it a cherished representation of Malay heritage."
EX07,Baba Nyonya Heritage Museum,"A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle.","museum, heritage, peranakan",Culture & Heritage," 48-50, Jalan Tun Tan Cheng Lock, 75200 Melaka",Melaka,25,100,10.00  AM - 4.00  PM,Daily,Tuesday,4.4,HO158,Baba Nyonya Museum,06-282 1273,https://www.babanyonyamuseum.com/,"A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle.","museum, heritage, peranakan",10.00 a.m. - 4.00 p.m.,Daily,Tuesday,62.5,"Baba Nyonya Heritage Museum museum, heritage, peranakan A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle."
EX08,Balai Kito Homestay,"Conveniently situated in the Kota Kinabatangan part of Sandakan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Turtle Islands National Park.","homestay, eco-tourism, sustainable, local",Homestay,"Jalan Sukau, Kinabatangan, Sabah",Sabah,30,80,24 hours,Daily,Not Mentioned,4.6,HO227,Balai Kito Homestay,013-869 9026,https://www.tripadvisor.com/Hotel_Review-g1137932-d8310208-Reviews-Balai_Kito_Homestay-Sukau_Kinabatangan_District_Sabah.html,"Conveniently situated in the Kota Kinabatangan part of Sandakan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Turtle Islands National Park.","homestay, eco-tourism, sustainable, local",24 hours,Daily,Not Mentioned,55,"Balai Kito Homestay homestay, eco-tourism, sustainable, local Conveniently situated in the Kota Kinabatangan part of Sandakan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Turtle Islands National Park."
EX09,Batik Boutique Corporate Services and Workshop Studio,"Batik Boutique offers sustainable, artisan-made batik gifts crafted by local Malaysian artisans. Using eco-friendly materials and customizable designs, they provide flexible orders, reliable delivery, and high-quality craftsmanship — perfect for meaningful corporate gifting.","batik, artisan, sustainable, eco-friendly, corporate gifting, handicraft, custom design, local artisans",Arts & Crafts,"62-1 First Floor, The Row, Jalan Doraisamy, Jln, Chow Kit, 50300 Kuala Lumpur",Kuala Lumpur,100,600,9.00  AM - 6.00  PM,Daily,"Saturday, Sunday",4.9,HO148,Batik Boutique,018-230 8313,https://batikboutique.com/pages/corporate-products-services?srsltid=AfmBOop6Q2wZSto1I5ll3_9GeOpgjonv8iXLtcF0t9JaxD5IpFa2b7Dg,"Batik Boutique offers sustainable, artisan-made batik gifts crafted by local Malaysian artisans. Using eco-friendly materials and customizable designs, they provide flexible orders, reliable delivery, and high-quality craftsmanship — perfect for meaningful corporate gifting.","batik, artisan, sustainable, eco-friendly, corporate gifting, handicraft, custom design, local artisans",9.00 a.m. - 6.00 p.m.,Daily,"Saturday, sunday",350,"Batik Boutique Corporate Services and Workshop Studio batik, artisan, sustainable, eco-friendly, corporate gifting, handicraft, custom design, local artisans Batik Boutique offers sustainable, artisan-made batik gifts crafted by local Malaysian artisans. Using eco-friendly materials and customizable designs, they provide flexible orders, reliable delivery, and high-quality craftsmanship — perfect for meaningful corporate gifting."
EX10,Batik Coloring Workshop in Kuala Lumpur,"The apparent ease and guaranteed beautiful results have made Batik paintings as one of our top selling crafts of all time. On another note, our Batik painting workshop is just what you need to unwind and relax after a stressful week. Design, paint and take home your very own batik design now! Bring your friends and family and have an amazing time together!","batik, art, workshop, cultural",Arts & Crafts,"Central Market, Lot 1.03A Ground floor",Kuala Lumpur,15,30,10.30  AM - 7.00  PM,Daily,Not Mentioned,4.7,HO20,Ainna Artwork,010-434 7121,https://www.instagram.com/batik_ainnaartwork/?hl=en,"The apparent ease and guaranteed beautiful results have made Batik paintings as one of our top selling crafts of all time. On another note, our Batik painting workshop is just what you need to unwind and relax after a stressful week. Design, paint and take home your very own batik design now! Bring your friends and family and have an amazing time together!","batik, art, workshop, cultural",10.30 a.m. - 7.00 p.m.,Daily,Not Mentioned,22.5,"Batik Coloring Workshop in Kuala Lumpur batik, art, workshop, cultural The apparent ease and guaranteed beautiful results have made Batik paintings as one of our top selling crafts of all time. On another note, our Batik painting workshop is just what you need to unwind and relax after a stressful week. Design, paint and take home your very own batik design now! Bring your friends and family and have an amazing time together!"
