1,67,A’moss,Scenic dome glamping site offering panoramic views of Cameron Highlands’ tea plantations.,"glamping, eco stay, cameron highlands, nature",Nature & Eco,Pahang,Cameron Highlands,250,500,Daily,None,2:00  PM – 12:00  PM,017-300 1142,https://www.facebook.com/AmossStay,5/1/2025,5,AD01,Null
2,180,Air Terjun Takah Pengkoi,"Hidden waterfall located in an Orang Asli village in Segamat, Johor. Offers camping, chalets, and a unique “bus stay” experience with BBQ facilities and no mobile signal — perfect for a digital detox.","nature, waterfall, camping, hidden gem",Nature & Eco,Johor,"Bekok, Johor",15,70,Daily,None,9.00  AM - 8.00  PM,019 659 9316 ,,6/1/2025,4.4,AD01,Null
3,12,Annah Rais Longhouse Visit,"Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals.","longhouse, indigenous, agro",Nature & Eco,Sarawak,"Kubah, Kuching, Sarawak",60,200,Daily by appointment,Upon Booking,8 am - 6 pm,0 82-xxxxxx,,7/1/2025,4.6,AD01,Null
4,25,Asrina Craft Enterprise,"Local handicraft shop selling handmade batik, rattan, and traditional souvenirs.","handicraft, batik, souvenir, melaka",Arts & Crafts,Melaka,Ayer Keroh,10,50,Daily,None,8.00  AM - 10.00  PM,012-309 3729,https://www.facebook.com/Asrina.Craft/,8/1/2025,5,AD01,Null
5,101,Azahari Boat Services,Family-run boat operator offering sightseeing and river excursions in Kuala Terengganu.,"boat tour, sightseeing, local experience, terengganu",Nature & Eco,Terengganu,Kampung Merang,50,110,Daily,None,9:00  AM – 5:00  PM,019-913 2369,—,9/1/2025,4.7,AD01,Null
6,146,Azydar Enterprise,"Azydar Enterprise is a local business dedicated to preserving Perak’s traditional tekat benang emas craftsmanship. The enterprise specializes in producing and selling exquisite hand-embroidered tekat items, including decorative panels, accessories, and ceremonial gifts. Each piece reflects meticulous artistry and cultural elegance, making it a cherished representation of Malay heritage.","tekat, embroidery, gold thread, craft, heritage, handmade, Perak, souvenir",Arts & Crafts,Perak,"No 57A, Kg Padang Changkat bukit chandan, Kuala Kangsar 33000",25,1800,Upon Booking,Upon Booking,Upon Booking,instagram: @azydartekat,https://www.instagram.com/azydartekat/?hl=en,10/1/2025,4.3,AD01,Null
7,158,Baba Nyonya Heritage Museum,"A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle.","museum, heritage, peranakan",Culture & Heritage,Melaka," 48-50, Jalan Tun Tan Cheng Lock, 75200 Melaka",25,100,Daily,Tuesday,10.00  AM - 4.00  PM,06-282 1273,https://www.babanyonyamuseum.com/,11/1/2025,4.4,AD01,Null
8,227,Balai Kito Homestay,"Conveniently situated in the Kota Kinabatangan part of Sandakan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Turtle Islands National Park.","homestay, eco-tourism, sustainable, local",Homestay,Sabah,"Jalan Sukau, Kinabatangan, Sabah",30,80,Daily,None,24 hours,013-869 9026,https://www.tripadvisor.com/Hotel_Review-g1137932-d8310208-Reviews-Balai_Kito_Homestay-Sukau_Kinabatangan_District_Sabah.html,12/1/2025,4.6,AD01,Null
9,148,Batik Boutique Corporate Services and Workshop Studio,"Batik Boutique offers sustainable, artisan-made batik gifts crafted by local Malaysian artisans. Using eco-friendly materials and customizable designs, they provide flexible orders, reliable delivery, and high-quality craftsmanship — perfect for meaningful corporate gifting.","batik, artisan, sustainable, eco-friendly, corporate gifting, handicraft, custom design, local artisans",Arts & Crafts,Kuala Lumpur,"62-1 First Floor, The Row, Jalan Doraisamy, Jln, Chow Kit, 50300 Kuala Lumpur",100,600,Daily,"Saturday, Sunday",9.00  AM - 6.00  PM,018-230 8313,https://batikboutique.com/pages/corporate-products-services?srsltid=AfmBOop6Q2wZSto1I5ll3_9GeOpgjonv8iXLtcF0t9JaxD5IpFa2b7Dg,13/1/2025,4.9,AD01,Null
10,20,Batik Coloring Workshop in Kuala Lumpur,"The apparent ease and guaranteed beautiful results have made Batik paintings as one of our top selling crafts of all time. On another note, our Batik painting workshop is just what you need to unwind and relax after a stressful week. Design, paint and take home your very own batik design now! Bring your friends and family and have an amazing time together!","batik, art, workshop, cultural",Arts & Crafts,Kuala Lumpur,"Central Market, Lot 1.03A Ground floor",15,30,Daily,None,10.30  AM - 7.00  PM,010-434 7121,https://www.instagram.com/batik_ainnaartwork/?hl=en,14/1/2025,4.7,AD01,Null
